Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs
FNT Boxing Club,Boxing Coaching Center,"256 Grand St, Brooklyn, NY 11211, United States",+1 347-332-0173,https://www.fntboxing.com/,,https://www.google.com/maps/place/FNT+Boxing+Club/data=!4m7!3m6!1s0x89c25931058cf941:0xf848c4f9618c03e5!8m2!3d40.7133084!4d-73.9588281!16s%2Fg%2F11wvyyydsh!19sChIJQfmMBTFZwokR5QOMYfnESPg,4.8,61,
El Dojo NYC,Martial arts school,"1162 2nd Ave, New York, NY 10065, United States",+1 646-899-7379,http://www.eldojonyc.com/,,https://www.google.com/maps/place/El+Dojo+NYC/data=!4m7!3m6!1s0x89c259e3d130b92d:0xa0e7ea84c9a34fe!8m2!3d40.761878!4d-73.963059!16s%2Fg%2F11smtsvw3h!19sChIJLbkw0eNZwokR_jSaTKh-Dgo,5.0,59,
Bua Boxing,Boxing club,"23-09 Steinway St, Astoria, NY 11105, United States",+1 929-471-2011,https://www.buaboxing.com/,,https://www.google.com/maps/place/Bua+Boxing/data=!4m7!3m6!1s0x89c25f13848dad4d:0x96867a6a40e296f1!8m2!3d40.7706851!4d-73.9084774!16s%2Fg%2F11vm2_4w8c!19sChIJTa2NhBNfwokR8ZbiQGp6hpY,5.0,55,
Brotherhood Boxing,Boxing Coaching Center,"82 Wyckoff Ave, Brooklyn, NY 11237, United States",+1 929-234-5600,https://brotherhoodboxing.org/,,https://www.google.com/maps/place/Brotherhood+Boxing/data=!4m7!3m6!1s0x89c25c29b2941889:0x5e1cd356c9db6e64!8m2!3d40.7044632!4d-73.919956!16s%2Fg%2F1ts1t4b7!19sChIJiRiUsilcwokRZG7byVbTHF4,4.7,55,
Iron Rooster Muay Thai,Muay Thai boxing gym,"36 Waverly Ave Rm 309, Brooklyn, NY 11205, United States",+1 646-801-6318,https://instagram.com/ironroostermuaythai/,,https://www.google.com/maps/place/Iron+Rooster+Muay+Thai/data=!4m7!3m6!1s0x89c2590737320c7b:0xa40a28dd8b5e10af!8m2!3d40.696812!4d-73.968848!16s%2Fg%2F11fkmztz8h!19sChIJewwyNwdZwokRrxBei90oCqQ,5.0,54,
"Tiger Schulmann's Martial Arts (Upper East Side, Manhattan, NY)",Martial arts school,"1470 1st Ave, New York, NY 10075, United States",+1 917-261-5758,http://www.tsk.com/locations/ny/upper-east-side/,,"https://www.google.com/maps/place/Tiger+Schulmann%27s+Martial+Arts+%28Upper+East+Side,+Manhattan,+NY%29/data=!4m7!3m6!1s0x89c259b378eef2cf:0x983f69d25ed23381!8m2!3d40.7705841!4d-73.9536119!16s%2Fg%2F11spp_373q!19sChIJz_LueLNZwokRgTPSXtJpP5g",5.0,54,
Ninja Clint Boxing,Personal trainer,"636 Broadway, New York, NY 10012, United States",+1 503-896-6396,https://linktr.ee/NinjaClint,,https://www.google.com/maps/place/Ninja+Clint+Boxing/data=!4m7!3m6!1s0x89c25b90fe643f93:0xb5b3674e7ee53004!8m2!3d40.7260458!4d-73.9954338!16s%2Fg%2F11tg305psl!19sChIJkz9k_pBbwokRBDDlfk5ns7U,5.0,53,
Unlimited Martial Arts NYC,Martial arts school,"5 Withers St, Brooklyn, NY 11211, United States",+1 718-218-7515,https://unlimitedmartialartsacademy.com/,,https://www.google.com/maps/place/Unlimited+Martial+Arts+NYC/data=!4m7!3m6!1s0x89c25959389cda63:0x168213f8112265e9!8m2!3d40.7167038!4d-73.9526401!16s%2Fg%2F11c6w0cjqm!19sChIJY9qcOFlZwokR6WUiEfgTghY,4.9,53,
Kings Combat Fitness,Muay Thai boxing gym,"98-120 Queens Blvd, Rego Park, NY 11374, United States",+1 347-788-8787,http://www.kingscombatfitness.com/,,https://www.google.com/maps/place/Kings+Combat+Fitness/data=!4m7!3m6!1s0x89c25e3aa79fb4bf:0x7e09a5d7d1ed9d01!8m2!3d40.7268428!4d-73.8545803!16s%2Fg%2F11b6p0xt06!19sChIJv7SfpzpewokRAZ3t0delCX4,4.6,52,
Modern Martial Arts - Upper East Side,Martial arts school,"220 East 86th St, New York, NY 10028, United States",+1 212-772-3700,https://www.mmanewyorkcity.com/locations/upper-eastside,,https://www.google.com/maps/place/Modern+Martial+Arts+-+Upper+East+Side/data=!4m7!3m6!1s0x89c258bb799dcdf9:0xf0800c90451481ae!8m2!3d40.7782188!4d-73.953203!16s%2Fg%2F1tftm3ck!19sChIJ-c2debtYwokRroEURZAMgPA,4.8,51,
