Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning
World Gym Chullora,Gym,"Tenancy T8, Chullora Business Park, 62 Hume Hwy, Chullora NSW 2190, Australia",+61 2 9137 4502,https://www.worldgym.com.au/gyms/chullora,,https://www.google.com/maps/place/World+Gym+Chullora/data=!4m7!3m6!1s0x6b12bb477140b41d:0x8b7bcc2c4790f1cf!8m2!3d-33.895996!4d151.0476684!16s%2Fg%2F11h3mmftdt!19sChIJHbRAcUe7EmsRz_GQRyzMe4s,4.8,1394,,OK,,26.9,65,20.0,100,True,False,,False,False,True,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Next Gen Ryde,Gym,"504A Victoria Rd, Ryde NSW 2112, Australia",+61 2 9334 0000,https://www.nextgenclubs.com.au/location/ryde/,,https://www.google.com/maps/place/Next+Gen+Ryde/data=!4m7!3m6!1s0x6b12a59f41031ae1:0xbb3fa5d6d9cdd622!8m2!3d-33.8214272!4d151.1179207!16s%2Fg%2F1tdw86bl!19sChIJ4RoDQZ-lEmsRItbN2dalP7s,4.4,1033,,OK,,46.6,65,67.5,100,False,True,Facebook Messenger Plugin,False,True,True,False,True,True,1,1,"CRITICAL: SSL certificate is missing, invalid, or expired.; HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.",
One Playground Newtown,Gym,"Level 1/672 King St, Newtown NSW 2043, Australia",+61 2 9516 0466,https://oneplayground.com.au/locations/newtown/,,https://www.google.com/maps/place/One+Playground+Newtown/data=!4m7!3m6!1s0x6b12b04bdd91be07:0x33b98355be001f10!8m2!3d-33.9064377!4d151.1814043!16s%2Fg%2F11bv3rnd6h!19sChIJB76R3UuwEmsREB8AvlWDuTM,4.6,753,,OK,,35.0,65,27.5,100,True,False,,False,True,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
One Playground Surry Hills,Gym,"429 Elizabeth St, Surry Hills NSW 2010, Australia",+61 2 9211 3070,https://oneplayground.com.au/locations/surry-hills/,,https://www.google.com/maps/place/One+Playground+Surry+Hills/data=!4m7!3m6!1s0x6b12ae21ae31ce25:0x29fcb555e9cab30f!8m2!3d-33.8857514!4d151.2080545!16s%2Fg%2F1q5bmhjg7!19sChIJJc4xriGuEmsRD7PK6VW1_Ck,4.5,716,,OK,,35.0,65,27.5,100,True,False,,False,True,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
Ultimate Performance Personal Trainers Sydney,Personal trainer,"50 Pitt St, Sydney NSW 2000, Australia",+61 2 9267 5487,https://ultimateperformance.com/au/personal-trainer/sydney,,https://www.google.com/maps/place/Ultimate+Performance+Personal+Trainers+Sydney/data=!4m7!3m6!1s0x6b12ae3c0c2fe977:0x5313ceadd3ebb894!8m2!3d-33.8633205!4d151.2093107!16s%2Fg%2F1pzr_qy13!19sChIJd-kvDDyuEmsRlLjr063OE1M,5.0,673,,OK,,30.9,65,35.0,100,True,False,,False,True,True,False,True,False,0,1,HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,"page HTML contains a known anti-bot/CAPTCHA marker: ""recaptcha/api.js"". A headless-browser retry did not get past it either — this site likely requires solving a human-facing CAPTCHA/verification step, which this tool does not attempt to bypass. Verify this lead manually in a real browser."
Anytime Fitness St Leonards,Gym,"657 Pacific Hwy, St Leonards NSW 2065, Australia",+61 480 135 029,https://www.anytimefitness.com.au/gyms/au-1041/st-leonards-nsw-2065/,,https://www.google.com/maps/place/Anytime+Fitness+St+Leonards/data=!4m7!3m6!1s0x6b12aedd983f9f51:0xa8a0d316768c245f!8m2!3d-33.8230105!4d151.1950883!16s%2Fg%2F1tfpvdxd!19sChIJUZ8_mN2uEmsRXySMdhbToKg,4.7,641,,OK,,11.1,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Housed Macquarie Park,Fitness center,"63/65 Waterloo Rd, North Ryde NSW 2113, Australia",+61 1800 771 423,https://housed.com.au/locations/macquarie-park,,https://www.google.com/maps/place/Housed+Macquarie+Park/data=!4m7!3m6!1s0x6b12a7fd07a7946f:0xbfe51a1345e790d4!8m2!3d-33.7820604!4d151.1259033!16s%2Fg%2F11wjgvbgj2!19sChIJb5SnB_2nEmsR1JDnRRMa5b8,4.5,597,,OK,,51.1,65,35.0,100,True,False,,False,True,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
F45 Training Woolloomooloo,Gym,"Lower Ground, 100 William St, Woolloomooloo NSW 2011, Australia",+61 482 081 545,https://www.getgeri.fit/intro/f45-woolloomooloo/guest,,https://www.google.com/maps/place/F45+Training+Woolloomooloo/data=!4m7!3m6!1s0x6b12ae1390f19219:0x3c16fe94e9e2cc88!8m2!3d-33.8743037!4d151.2167459!16s%2Fg%2F11cn7sppkg!19sChIJGZLxkBOuEmsRiMzi6ZT-Fjw,5.0,530,,OK,,29.7,65,10.0,100,True,False,,False,False,False,False,True,False,0,4,HIGH: Missing recommended security headers.; HIGH: HTTP does not redirect to HTTPS.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No XML sitemap found.,
Fitness Education Online,Physical fitness program,,+61 1300 709 178,https://www.fitnesseducationonline.com.au/,,https://www.google.com/maps/place/Fitness+Education+Online/data=!4m7!3m6!1s0x6b12b84c516227bf:0xc7faa43da4864f6b!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F11c2k4241g!19sChIJvydiUUy4EmsRa0-GpD2k-sc,5.0,446,,OK,,53.3,65,50.0,100,True,True,Facebook Messenger Plugin,False,False,True,False,True,True,0,1,HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.; LOW: LocalBusiness schema is missing opening hours.,"page appears to be an interstitial/verification page or renders its content via JavaScript, and the headless-browser re-fetch did not return meaningfully more content — checks below likely show false negatives (missing title/forms/links etc. that a browser would actually see)"
Anytime Fitness Martin Place,Gym,"80 Elizabeth St, Sydney NSW 2000, Australia",+61 460 331 223,https://www.anytimefitness.com/en-au/membership-inquiry,,https://www.google.com/maps/place/Anytime+Fitness+Martin+Place/data=!4m7!3m6!1s0x6b12af304368a1f7:0xc1578fac7e1015d4!8m2!3d-33.868412!4d151.2107696!16s%2Fg%2F11gh4nrnb3!19sChIJ96FoQzCvEmsR1BUQfqyPV8E,4.7,422,,OK,,13.6,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
